category,file,key,english,chinese_suggested,notes
weather_key_missing_in_xcstrings,(code key),weather_tab.off.title,Weather is off,天气已关闭,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.off.message,Turn on Show weather in Settings > Weather.,请在“设置 > 天气”中开启“显示天气”。,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.loading,Loading weather...,正在加载天气...,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.retry,Retry,重试,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.unavailable,Weather not available,暂无天气数据,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.segment.current,Current,当前,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.segment.forecast,Forecast,预报,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.no_forecast,No forecast data,暂无预报数据,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.cached_badge,Cached,缓存,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.metric.feels,Feels,体感,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.metric.humidity,Humidity,湿度,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.metric.wind,Wind,风速,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.metric.rain,Rain,降雨,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.no_hourly,No hourly forecast,暂无逐小时预报,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.current_city_format,Current city: %@,当前城市：%@,add key to Localizable.xcstrings source first
weather_key_missing_in_xcstrings,(code key),weather_tab.next_days_format,Next %d days,未来 %d 天,add key to Localizable.xcstrings source first
